proname|args|rettype|provolatile|proleakproof
equals|{geometry,geometry}|bool|i|f
euc_cn_to_mic|{int4,internal,cstring,int4,int4}|void|i|f
euc_cn_to_utf8|{int4,int4,int4,cstring,internal}|void|i|f
euc_jis_2004_to_shift_jis_2004|{int4,int4,internal,int4,cstring}|void|i|f
euc_jis_2004_to_utf8|{internal,int4,int4,int4,cstring}|void|i|f
euc_jp_to_mic|{internal,cstring,int4,int4,int4}|void|i|f
euc_jp_to_sjis|{internal,cstring,int4,int4,int4}|void|i|f
euc_jp_to_utf8|{int4,cstring,internal,int4,int4}|void|i|f
euc_kr_to_mic|{int4,cstring,internal,int4,int4}|void|i|f
euc_kr_to_utf8|{int4,internal,cstring,int4,int4}|void|i|f
euc_tw_to_big5|{int4,cstring,internal,int4,int4}|void|i|f
euc_tw_to_mic|{int4,internal,cstring,int4,int4}|void|i|f
euc_tw_to_utf8|{int4,int4,int4,cstring,internal}|void|i|f
event_trigger_in|{cstring}|event_trigger|i|f
event_trigger_out|{event_trigger}|cstring|i|f
every|{bool}|bool|i|f
exp|{float8}|float8|i|f
exp|{numeric}|numeric|i|f
factorial|{int8}|numeric|i|f
family|{inet}|int4|i|f
fdw_handler_in|{cstring}|fdw_handler|i|f
fdw_handler_out|{fdw_handler}|cstring|i|f
find_srid|{varchar,varchar,varchar}|int4|s|f
first_value|{anyelement}|anyelement|i|f
float4|{float8}|float4|i|f
float4|{int2}|float4|i|f
float4|{int4}|float4|i|f
float4|{int8}|float4|i|f
float4|{jsonb}|float4|i|f
float4|{numeric}|float4|i|f
float48div|{float4,float8}|float8|i|f
float48eq|{float4,float8}|bool|i|t
float48ge|{float4,float8}|bool|i|t
float48gt|{float4,float8}|bool|i|t
float48le|{float4,float8}|bool|i|t
float48lt|{float4,float8}|bool|i|t
float48mi|{float8,float4}|float8|i|f
float48mul|{float4,float8}|float8|i|f
float48ne|{float4,float8}|bool|i|t
float48pl|{float4,float8}|float8|i|f
float4_accum|{float4,_float8}|_float8|i|f
float4abs|{float4}|float4|i|f
float4div|{float4,float4}|float4|i|f
float4eq|{float4,float4}|bool|i|t
float4ge|{float4,float4}|bool|i|t
float4gt|{float4,float4}|bool|i|t
float4in|{cstring}|float4|i|f
float4larger|{float4,float4}|float4|i|f
float4le|{float4,float4}|bool|i|t
float4lt|{float4,float4}|bool|i|t
float4mi|{float4,float4}|float4|i|f
float4mul|{float4,float4}|float4|i|f
float4ne|{float4,float4}|bool|i|t
float4out|{float4}|cstring|i|f
float4pl|{float4,float4}|float4|i|f
float4recv|{internal}|float4|i|f
float4send|{float4}|bytea|i|f
float4smaller|{float4,float4}|float4|i|f
float4um|{float4}|float4|i|f
float4up|{float4}|float4|i|f
float8|{float4}|float8|i|f
float8|{int2}|float8|i|f
float8|{int4}|float8|i|f
float8|{int8}|float8|i|f
float8|{jsonb}|float8|i|f
float8|{numeric}|float8|i|f
float84div|{float8,float4}|float8|i|f
float84eq|{float8,float4}|bool|i|t
float84ge|{float4,float8}|bool|i|t
float84gt|{float8,float4}|bool|i|t
float84le|{float4,float8}|bool|i|t
float84lt|{float4,float8}|bool|i|t
float84mi|{float4,float8}|float8|i|f
float84mul|{float4,float8}|float8|i|f
float84ne|{float4,float8}|bool|i|t
float84pl|{float8,float4}|float8|i|f
float8_accum|{float8,_float8}|_float8|i|f
float8_avg|{_float8}|float8|i|f
float8_combine|{_float8,_float8}|_float8|i|f
float8_corr|{_float8}|float8|i|f
float8_covar_pop|{_float8}|float8|i|f
float8_covar_samp|{_float8}|float8|i|f
float8_regr_accum|{float8,float8,_float8}|_float8|i|f
float8_regr_avgx|{_float8}|float8|i|f
float8_regr_avgy|{_float8}|float8|i|f
float8_regr_combine|{_float8,_float8}|_float8|i|f
float8_regr_intercept|{_float8}|float8|i|f
float8_regr_r2|{_float8}|float8|i|f
float8_regr_slope|{_float8}|float8|i|f
float8_regr_sxx|{_float8}|float8|i|f
float8_regr_sxy|{_float8}|float8|i|f
float8_regr_syy|{_float8}|float8|i|f
float8_stddev_pop|{_float8}|float8|i|f
float8_stddev_samp|{_float8}|float8|i|f
float8_var_pop|{_float8}|float8|i|f
float8_var_samp|{_float8}|float8|i|f
float8abs|{float8}|float8|i|f
float8div|{float8,float8}|float8|i|f
float8eq|{float8,float8}|bool|i|t
float8ge|{float8,float8}|bool|i|t
float8gt|{float8,float8}|bool|i|t
float8in|{cstring}|float8|i|f
float8larger|{float8,float8}|float8|i|f
float8le|{float8,float8}|bool|i|t
float8lt|{float8,float8}|bool|i|t
float8mi|{float8,float8}|float8|i|f
float8mul|{float8,float8}|float8|i|f
float8ne|{float8,float8}|bool|i|t
float8out|{float8}|cstring|i|f
float8pl|{float8,float8}|float8|i|f
float8recv|{internal}|float8|i|f
float8send|{float8}|bytea|i|f
float8smaller|{float8,float8}|float8|i|f
float8um|{float8}|float8|i|f
float8up|{float8}|float8|i|f
floor|{float8}|float8|i|f
floor|{numeric}|numeric|i|f
flt4_mul_cash|{money,float4}|money|i|f
flt8_mul_cash|{float8,money}|money|i|f
fmgr_c_validator|{oid}|void|s|f
fmgr_internal_validator|{oid}|void|s|f
fmgr_sql_validator|{oid}|void|s|f
format|{text}|text|s|f
format|{text,any}|text|s|f
format_type|{oid,int4}|text|s|f
gb18030_to_utf8|{internal,int4,int4,cstring,int4}|void|i|f
gbk_to_utf8|{int4,int4,int4,cstring,internal}|void|i|f
generate_series|{int4,int4}|int4|i|f
generate_series|{int4,int4,int4}|int4|i|f
generate_series|{int8,int8}|int8|i|f
generate_series|{int8,int8,int8}|int8|i|f
generate_series|{numeric,numeric}|numeric|i|f
generate_series|{numeric,numeric,numeric}|numeric|i|f
generate_series|{timestamp,interval,timestamp}|timestamp|i|f
generate_series|{timestamptz,interval,timestamptz}|timestamptz|s|f
generate_series_int4_support|{internal}|internal|i|f
generate_series_int8_support|{internal}|internal|i|f
generate_subscripts|{int4,anyarray}|int4|i|f
generate_subscripts|{int4,bool,anyarray}|int4|i|f
geog_brin_inclusion_add_value|{internal,internal,internal,internal}|bool|v|f
geography|{bytea}|geography|i|f
geography|{geography,int4,bool}|geography|i|f
geography|{geometry}|geography|i|f
geography_analyze|{internal}|bool|v|f
geography_cmp|{geography,geography}|int4|i|f
geography_distance_knn|{geography,geography}|float8|i|f
geography_eq|{geography,geography}|bool|i|f
geography_ge|{geography,geography}|bool|i|f
geography_gist_compress|{internal}|internal|v|f
geography_gist_consistent|{internal,geography,int4}|bool|v|f
geography_gist_decompress|{internal}|internal|v|f
geography_gist_distance|{internal,geography,int4}|float8|v|f
geography_gist_penalty|{internal,internal,internal}|internal|v|f
geography_gist_picksplit|{internal,internal}|internal|v|f
geography_gist_same|{box2d,box2d,internal}|internal|v|f
geography_gist_union|{bytea,internal}|internal|v|f
geography_gt|{geography,geography}|bool|i|f
geography_in|{cstring,oid,int4}|geography|i|f
geography_le|{geography,geography}|bool|i|f
geography_lt|{geography,geography}|bool|i|f
geography_out|{geography}|cstring|i|f
geography_overlaps|{geography,geography}|bool|i|f
geography_recv|{internal,oid,int4}|geography|i|f
geography_send|{geography}|bytea|i|f
geography_spgist_choose_nd|{internal,internal}|void|i|f
geography_spgist_compress_nd|{internal}|internal|i|f
geography_spgist_config_nd|{internal,internal}|void|i|f
geography_spgist_inner_consistent_nd|{internal,internal}|void|i|f
geography_spgist_leaf_consistent_nd|{internal,internal}|bool|i|f
geography_spgist_picksplit_nd|{internal,internal}|void|i|f
geography_typmod_in|{_cstring}|int4|i|f
geography_typmod_out|{int4}|cstring|i|f
geom2d_brin_inclusion_add_value|{internal,internal,internal,internal}|bool|v|f
geom3d_brin_inclusion_add_value|{internal,internal,internal,internal}|bool|v|f
geom4d_brin_inclusion_add_value|{internal,internal,internal,internal}|bool|v|f
geometry|{box2d}|geometry|i|f
geometry|{box3d}|geometry|i|f
geometry|{bytea}|geometry|i|f
geometry|{geography}|geometry|i|f
geometry|{geometry,bool,int4}|geometry|i|f
geometry|{path}|geometry|i|f
geometry|{point}|geometry|i|f
geometry|{polygon}|geometry|i|f
geometry|{text}|geometry|i|f
geometry_above|{geometry,geometry}|bool|i|f
geometry_analyze|{internal}|bool|v|f
geometry_below|{geometry,geometry}|bool|i|f
geometry_cmp|{geometry,geometry}|int4|i|f
geometry_contained_3d|{geometry,geometry}|bool|i|f
geometry_contains|{geometry,geometry}|bool|i|f
geometry_contains_3d|{geometry,geometry}|bool|i|f
geometry_contains_nd|{geometry,geometry}|bool|i|f
geometry_distance_box|{geometry,geometry}|float8|i|f
geometry_distance_centroid|{geometry,geometry}|float8|i|f
geometry_distance_centroid_nd|{geometry,geometry}|float8|i|f
geometry_distance_cpa|{geometry,geometry}|float8|i|f
geometry_eq|{geometry,geometry}|bool|i|f
geometry_ge|{geometry,geometry}|bool|i|f
geometry_gist_compress_2d|{internal}|internal|v|f
geometry_gist_compress_nd|{internal}|internal|v|f
geometry_gist_consistent_2d|{internal,geometry,int4}|bool|v|f
geometry_gist_consistent_nd|{geometry,int4,internal}|bool|v|f
geometry_gist_decompress_2d|{internal}|internal|v|f
geometry_gist_decompress_nd|{internal}|internal|v|f
geometry_gist_distance_2d|{int4,internal,geometry}|float8|v|f
geometry_gist_distance_nd|{int4,internal,geometry}|float8|v|f
geometry_gist_penalty_2d|{internal,internal,internal}|internal|v|f
geometry_gist_penalty_nd|{internal,internal,internal}|internal|v|f
geometry_gist_picksplit_2d|{internal,internal}|internal|v|f
geometry_gist_picksplit_nd|{internal,internal}|internal|v|f
geometry_gist_same_2d|{geometry,internal,geometry}|internal|v|f
geometry_gist_same_nd|{geometry,geometry,internal}|internal|v|f
geometry_gist_union_2d|{internal,bytea}|internal|v|f
geometry_gist_union_nd|{bytea,internal}|internal|v|f
geometry_gt|{geometry,geometry}|bool|i|f
geometry_hash|{geometry}|int4|i|f
geometry_in|{cstring}|geometry|i|f
geometry_le|{geometry,geometry}|bool|i|f
geometry_left|{geometry,geometry}|bool|i|f
geometry_lt|{geometry,geometry}|bool|i|f
geometry_out|{geometry}|cstring|i|f
geometry_overabove|{geometry,geometry}|bool|i|f
geometry_overbelow|{geometry,geometry}|bool|i|f
geometry_overlaps|{geometry,geometry}|bool|i|f
geometry_overlaps_3d|{geometry,geometry}|bool|i|f
geometry_overlaps_nd|{geometry,geometry}|bool|i|f
geometry_overleft|{geometry,geometry}|bool|i|f
geometry_overright|{geometry,geometry}|bool|i|f
geometry_recv|{internal}|geometry|i|f
geometry_right|{geometry,geometry}|bool|i|f
geometry_same|{geometry,geometry}|bool|i|f
geometry_same_3d|{geometry,geometry}|bool|i|f
geometry_same_nd|{geometry,geometry}|bool|i|f
geometry_send|{geometry}|bytea|i|f
geometry_sortsupport|{internal}|void|i|f
geometry_spgist_choose_2d|{internal,internal}|void|i|f
geometry_spgist_choose_3d|{internal,internal}|void|i|f
geometry_spgist_choose_nd|{internal,internal}|void|i|f
geometry_spgist_compress_2d|{internal}|internal|i|f
geometry_spgist_compress_3d|{internal}|internal|i|f
geometry_spgist_compress_nd|{internal}|internal|i|f
geometry_spgist_config_2d|{internal,internal}|void|i|f
geometry_spgist_config_3d|{internal,internal}|void|i|f
geometry_spgist_config_nd|{internal,internal}|void|i|f
geometry_spgist_inner_consistent_2d|{internal,internal}|void|i|f
geometry_spgist_inner_consistent_3d|{internal,internal}|void|i|f
geometry_spgist_inner_consistent_nd|{internal,internal}|void|i|f
geometry_spgist_leaf_consistent_2d|{internal,internal}|bool|i|f
geometry_spgist_leaf_consistent_3d|{internal,internal}|bool|i|f
geometry_spgist_leaf_consistent_nd|{internal,internal}|bool|i|f
geometry_spgist_picksplit_2d|{internal,internal}|void|i|f
geometry_spgist_picksplit_3d|{internal,internal}|void|i|f
geometry_spgist_picksplit_nd|{internal,internal}|void|i|f
geometry_typmod_in|{_cstring}|int4|i|f
geometry_typmod_out|{int4}|cstring|i|f
geometry_within|{geometry,geometry}|bool|i|f
geometry_within_nd|{geometry,geometry}|bool|i|f
geometrytype|{geography}|text|i|f
geometrytype|{geometry}|text|i|f
geomfromewkb|{bytea}|geometry|i|f
geomfromewkt|{text}|geometry|i|f
get_bit|{bit,int4}|int4|i|f
get_bit|{bytea,int4}|int4|i|f
get_byte|{int4,bytea}|int4|i|f
get_proj4_from_srid|{int4}|text|i|f
gidx_in|{cstring}|gidx|i|f
gidx_out|{gidx}|cstring|i|f
gin_clean_pending_list|{regclass}|int8|v|f
gin_cmp_prefix|{text,internal,int2,text}|int4|i|f
gin_cmp_tslexeme|{text,text}|int4|i|f
gin_compare_jsonb|{text,text}|int4|i|f
gin_consistent_jsonb|{int2,jsonb,int4,internal,internal,internal,internal,internal}|bool|i|f
gin_consistent_jsonb_path|{int2,jsonb,int4,internal,internal,internal,internal,internal}|bool|i|f
gin_extract_jsonb|{internal,internal,jsonb}|internal|i|f
gin_extract_jsonb_path|{internal,internal,jsonb}|internal|i|f
gin_extract_jsonb_query|{internal,int2,internal,internal,internal,internal,jsonb}|internal|i|f
gin_extract_jsonb_query_path|{int2,jsonb,internal,internal,internal,internal,internal}|internal|i|f
gin_extract_tsquery|{int2,internal,internal,tsquery,internal,internal,internal}|internal|i|f
gin_extract_tsquery|{internal,int2,internal,internal,internal,internal,tsvector}|internal|i|f
gin_extract_tsquery|{tsquery,internal,internal,int2,internal}|internal|i|f
gin_extract_tsvector|{tsvector,internal}|internal|i|f
gin_extract_tsvector|{tsvector,internal,internal}|internal|i|f
gin_triconsistent_jsonb|{jsonb,int2,internal,internal,internal,internal,int4}|char|i|f
gin_triconsistent_jsonb_path|{int4,int2,jsonb,internal,internal,internal,internal}|char|i|f
gin_tsquery_consistent|{int2,internal,internal,internal,internal,internal,int4,tsvector}|bool|i|f
gin_tsquery_consistent|{internal,internal,int4,tsquery,int2,internal}|bool|i|f
gin_tsquery_consistent|{internal,internal,internal,internal,internal,int4,int2,tsquery}|bool|i|f
gin_tsquery_triconsistent|{int4,internal,internal,tsvector,int2,internal,internal}|char|i|f
ginarrayconsistent|{internal,internal,internal,internal,internal,anyarray,int4,int2}|bool|i|f
ginarrayextract|{anyarray,internal}|internal|i|f
ginarrayextract|{anyarray,internal,internal}|internal|i|f
ginarraytriconsistent|{internal,internal,int2,anyarray,int4,internal,internal}|char|i|f
ginhandler|{internal}|index_am_handler|v|f
ginqueryarrayextract|{anyarray,internal,internal,int2,internal,internal,internal}|internal|i|f
gist_box_consistent|{oid,internal,internal,box,int2}|bool|i|f
gist_box_penalty|{internal,internal,internal}|internal|i|f
gist_box_picksplit|{internal,internal}|internal|i|f
gist_box_same|{box,internal,box}|internal|i|f
gist_box_union|{internal,internal}|box|i|f
gist_circle_compress|{internal}|internal|i|f
gist_circle_consistent|{circle,int2,oid,internal,internal}|bool|i|f
gist_circle_distance|{circle,internal,oid,int2,internal}|float8|i|f
gist_point_compress|{internal}|internal|i|f
gist_point_consistent|{point,internal,oid,int2,internal}|bool|i|f
gist_point_distance|{int2,internal,internal,point,oid}|float8|i|f
gist_point_fetch|{internal}|internal|i|f
gist_poly_compress|{internal}|internal|i|f
gist_poly_consistent|{oid,int2,internal,polygon,internal}|bool|i|f
gist_poly_distance|{int2,oid,polygon,internal,internal}|float8|i|f
gisthandler|{internal}|index_am_handler|v|f
gserialized_gist_joinsel_2d|{internal,int2,internal,oid}|float8|v|f
gserialized_gist_joinsel_nd|{internal,int2,internal,oid}|float8|v|f
gserialized_gist_sel_2d|{internal,oid,internal,int4}|float8|v|f
gserialized_gist_sel_nd|{internal,int4,internal,oid}|float8|v|f
gtsquery_compress|{internal}|internal|i|f
gtsquery_consistent|{internal,tsquery,int2,oid,internal}|bool|i|f
gtsquery_consistent|{oid,int4,internal,internal,internal}|bool|i|f
gtsquery_penalty|{internal,internal,internal}|internal|i|f
gtsquery_picksplit|{internal,internal}|internal|i|f
gtsquery_same|{internal,int8,int8}|internal|i|f
gtsquery_union|{internal,internal}|int8|i|f
gtsvector_compress|{internal}|internal|i|f
gtsvector_consistent|{gtsvector,int4,oid,internal,internal}|bool|i|f
gtsvector_consistent|{internal,oid,internal,tsvector,int2}|bool|i|f
gtsvector_decompress|{internal}|internal|i|f
gtsvector_penalty|{internal,internal,internal}|internal|i|f
gtsvector_picksplit|{internal,internal}|internal|i|f
gtsvector_same|{gtsvector,gtsvector,internal}|internal|i|f
gtsvector_union|{internal,internal}|gtsvector|i|f
gtsvectorin|{cstring}|gtsvector|i|f
gtsvectorout|{gtsvector}|cstring|i|f
has_any_column_privilege|{text,name,oid}|bool|s|f
has_any_column_privilege|{text,name,text}|bool|s|f
has_any_column_privilege|{text,oid}|bool|s|f
has_any_column_privilege|{text,oid,oid}|bool|s|f
has_any_column_privilege|{text,oid,text}|bool|s|f
has_any_column_privilege|{text,text}|bool|s|f
has_column_privilege|{int2,oid,oid,text}|bool|s|f
has_column_privilege|{int2,oid,text}|bool|s|f
has_column_privilege|{int2,text,text}|bool|s|f
has_column_privilege|{oid,name,text,int2}|bool|s|f
has_column_privilege|{oid,name,text,text}|bool|s|f
has_column_privilege|{oid,oid,text,text}|bool|s|f
has_column_privilege|{text,int2,text,name}|bool|s|f
has_column_privilege|{text,oid,text}|bool|s|f
has_column_privilege|{text,oid,text,text}|bool|s|f
has_column_privilege|{text,text,name,text}|bool|s|f
has_column_privilege|{text,text,oid,int2}|bool|s|f
has_column_privilege|{text,text,text}|bool|s|f
has_database_privilege|{name,oid,text}|bool|s|f
has_database_privilege|{name,text,text}|bool|s|f
has_database_privilege|{oid,text,oid}|bool|s|f
has_database_privilege|{oid,text,text}|bool|s|f
has_database_privilege|{text,oid}|bool|s|f
has_database_privilege|{text,text}|bool|s|f
has_foreign_data_wrapper_privilege|{oid,text}|bool|s|f
has_foreign_data_wrapper_privilege|{oid,text,oid}|bool|s|f
has_foreign_data_wrapper_privilege|{text,name,oid}|bool|s|f
has_foreign_data_wrapper_privilege|{text,oid,text}|bool|s|f
has_foreign_data_wrapper_privilege|{text,text}|bool|s|f
has_foreign_data_wrapper_privilege|{text,text,name}|bool|s|f
has_function_privilege|{name,text,text}|bool|s|f
has_function_privilege|{oid,text,oid}|bool|s|f
has_function_privilege|{text,name,oid}|bool|s|f
has_function_privilege|{text,oid}|bool|s|f
has_function_privilege|{text,oid,text}|bool|s|f
has_function_privilege|{text,text}|bool|s|f
has_language_privilege|{name,text,text}|bool|s|f
has_language_privilege|{oid,text}|bool|s|f
has_language_privilege|{oid,text,oid}|bool|s|f
has_language_privilege|{text,oid,name}|bool|s|f
has_language_privilege|{text,text}|bool|s|f
has_language_privilege|{text,text,oid}|bool|s|f
has_schema_privilege|{oid,text}|bool|s|f
has_schema_privilege|{oid,text,oid}|bool|s|f
has_schema_privilege|{oid,text,text}|bool|s|f
has_schema_privilege|{text,name,oid}|bool|s|f
has_schema_privilege|{text,text}|bool|s|f
has_schema_privilege|{text,text,name}|bool|s|f
has_sequence_privilege|{oid,text}|bool|s|f
has_sequence_privilege|{oid,text,text}|bool|s|f
has_sequence_privilege|{text,name,text}|bool|s|f
has_sequence_privilege|{text,oid,name}|bool|s|f
has_sequence_privilege|{text,oid,oid}|bool|s|f
has_sequence_privilege|{text,text}|bool|s|f
has_server_privilege|{oid,text}|bool|s|f
has_server_privilege|{oid,text,text}|bool|s|f
has_server_privilege|{text,oid,name}|bool|s|f
has_server_privilege|{text,oid,oid}|bool|s|f
has_server_privilege|{text,text}|bool|s|f
has_server_privilege|{text,text,name}|bool|s|f
has_table_privilege|{oid,text,name}|bool|s|f
has_table_privilege|{oid,text,text}|bool|s|f
has_table_privilege|{text,name,text}|bool|s|f
has_table_privilege|{text,oid}|bool|s|f
has_table_privilege|{text,oid,oid}|bool|s|f
has_table_privilege|{text,text}|bool|s|f
has_tablespace_privilege|{name,text,text}|bool|s|f
has_tablespace_privilege|{oid,oid,text}|bool|s|f
has_tablespace_privilege|{oid,text}|bool|s|f
has_tablespace_privilege|{text,name,oid}|bool|s|f
has_tablespace_privilege|{text,oid,text}|bool|s|f
has_tablespace_privilege|{text,text}|bool|s|f
has_type_privilege|{name,oid,text}|bool|s|f
has_type_privilege|{oid,text}|bool|s|f
has_type_privilege|{oid,text,text}|bool|s|f
has_type_privilege|{text,name,text}|bool|s|f
has_type_privilege|{text,oid,oid}|bool|s|f
has_type_privilege|{text,text}|bool|s|f
hash_aclitem|{aclitem}|int4|i|f
hash_aclitem_extended|{aclitem,int8}|int8|i|f
hash_array|{anyarray}|int4|i|f
hash_array_extended|{int8,anyarray}|int8|i|f
hash_numeric|{numeric}|int4|i|f
hash_numeric_extended|{numeric,int8}|int8|i|f
hash_range|{anyrange}|int4|i|f
hash_range_extended|{anyrange,int8}|int8|i|f
hashbpchar|{bpchar}|int4|i|f
hashbpcharextended|{int8,bpchar}|int8|i|f
hashchar|{char}|int4|i|f
hashcharextended|{char,int8}|int8|i|f
hashenum|{anyenum}|int4|i|f
hashenumextended|{int8,anyenum}|int8|i|f
hashfloat4|{float4}|int4|i|f
hashfloat4extended|{float4,int8}|int8|i|f
hashfloat8|{float8}|int4|i|f
hashfloat8extended|{int8,float8}|int8|i|f
hashhandler|{internal}|index_am_handler|v|f
hashinet|{inet}|int4|i|f
hashinetextended|{inet,int8}|int8|i|f
hashint2|{int2}|int4|i|f
hashint2extended|{int8,int2}|int8|i|f
hashint4|{int4}|int4|i|f
hashint4extended|{int4,int8}|int8|i|f
hashint8|{int8}|int4|i|f
hashint8extended|{int8,int8}|int8|i|f
hashmacaddr|{macaddr}|int4|i|f
hashmacaddr8|{macaddr8}|int4|i|f
hashmacaddr8extended|{int8,macaddr8}|int8|i|f
hashmacaddrextended|{int8,macaddr}|int8|i|f
hashname|{name}|int4|i|f
hashnameextended|{name,int8}|int8|i|f
hashoid|{oid}|int4|i|f
hashoidextended|{int8,oid}|int8|i|f
hashoidvector|{oidvector}|int4|i|f
hashoidvectorextended|{oidvector,int8}|int8|i|f
hashtext|{text}|int4|i|f
hashtextextended|{text,int8}|int8|i|f
hashtid|{tid}|int4|i|f
hashtidextended|{tid,int8}|int8|i|f
hashvarlena|{internal}|int4|i|f
hashvarlenaextended|{internal,int8}|int8|i|f
heap_tableam_handler|{internal}|table_am_handler|v|f
height|{box}|float8|i|f
host|{inet}|text|i|f
hostmask|{inet}|inet|i|f
iclikejoinsel|{internal,internal,oid,internal,int2}|float8|s|f
iclikesel|{int4,internal,oid,internal}|float8|s|f
icnlikejoinsel|{internal,internal,internal,oid,int2}|float8|s|f
icnlikesel|{internal,internal,oid,int4}|float8|s|f
icregexeqjoinsel|{internal,oid,internal,int2,internal}|float8|s|f
icregexeqsel|{internal,int4,internal,oid}|float8|s|f
icregexnejoinsel|{internal,oid,internal,int2,internal}|float8|s|f
icregexnesel|{internal,int4,oid,internal}|float8|s|f
in_range|{bool,bool,date,interval,date}|bool|i|f
in_range|{bool,bool,timestamptz,interval,timestamptz}|bool|s|f
in_range|{bool,int2,int2,bool,int2}|bool|i|f
in_range|{bool,int2,int4,int4,bool}|bool|i|f
in_range|{bool,int4,int4,int4,bool}|bool|i|f
in_range|{bool,int8,bool,int8,int8}|bool|i|f
in_range|{bool,interval,interval,bool,interval}|bool|i|f
in_range|{bool,timestamp,timestamp,interval,bool}|bool|i|f
in_range|{float4,float4,float8,bool,bool}|bool|i|f
in_range|{float8,float8,float8,bool,bool}|bool|i|f
in_range|{int2,bool,bool,int8,int2}|bool|i|f
in_range|{int2,int2,int4,bool,bool}|bool|i|f
in_range|{int4,int4,int8,bool,bool}|bool|i|f
in_range|{numeric,numeric,numeric,bool,bool}|bool|i|f
in_range|{time,time,bool,bool,interval}|bool|i|f
in_range|{timetz,bool,timetz,bool,interval}|bool|i|f
index_am_handler_in|{cstring}|index_am_handler|i|f
index_am_handler_out|{index_am_handler}|cstring|i|f
inet_gist_compress|{internal}|internal|i|f
inet_gist_consistent|{internal,internal,inet,int2,oid}|bool|i|f
inet_gist_fetch|{internal}|internal|i|f
inet_gist_penalty|{internal,internal,internal}|internal|i|f
inet_gist_picksplit|{internal,internal}|internal|i|f
inet_gist_same|{internal,inet,inet}|internal|i|f
inet_gist_union|{internal,internal}|inet|i|f
inet_in|{cstring}|inet|i|f
inet_merge|{inet,inet}|cidr|i|f
inet_out|{inet}|cstring|i|f
inet_recv|{internal}|inet|i|f
inet_same_family|{inet,inet}|bool|i|f
inet_send|{inet}|bytea|i|f
inet_spg_choose|{internal,internal}|void|i|f
inet_spg_config|{internal,internal}|void|i|f
inet_spg_inner_consistent|{internal,internal}|void|i|f
inet_spg_leaf_consistent|{internal,internal}|bool|i|f
inet_spg_picksplit|{internal,internal}|void|i|f
inetand|{inet,inet}|inet|i|f
inetmi|{inet,inet}|int8|i|f
inetmi_int8|{inet,int8}|inet|i|f
inetnot|{inet}|inet|i|f
inetor|{inet,inet}|inet|i|f
inetpl|{int8,inet}|inet|i|f
initcap|{text}|text|i|f
int2|{float4}|int2|i|f
int2|{float8}|int2|i|f
int2|{int4}|int2|i|f
int2|{int8}|int2|i|f
int2|{jsonb}|int2|i|f
int2|{numeric}|int2|i|f
int24div|{int2,int4}|int4|i|f
int24eq|{int2,int4}|bool|i|t
int24ge|{int2,int4}|bool|i|t
int24gt|{int2,int4}|bool|i|t
int24le|{int2,int4}|bool|i|t
int24lt|{int2,int4}|bool|i|t
int24mi|{int2,int4}|int4|i|f
int24mul|{int2,int4}|int4|i|f
int24ne|{int2,int4}|bool|i|t
int24pl|{int4,int2}|int4|i|f
int28div|{int2,int8}|int8|i|f
int28eq|{int8,int2}|bool|i|t
int28ge|{int8,int2}|bool|i|t
int28gt|{int2,int8}|bool|i|t
int28le|{int2,int8}|bool|i|t
int28lt|{int8,int2}|bool|i|t
int28mi|{int2,int8}|int8|i|f
int28mul|{int2,int8}|int8|i|f
int28ne|{int8,int2}|bool|i|t
int28pl|{int8,int2}|int8|i|f
int2_accum|{int2,internal}|internal|i|f
int2_accum_inv|{int2,internal}|internal|i|f
int2_avg_accum|{int2,_int8}|_int8|i|f
int2_avg_accum_inv|{_int8,int2}|_int8|i|f
int2_mul_cash|{money,int2}|money|i|f
int2_sum|{int2,int8}|int8|i|f
int2abs|{int2}|int2|i|f
int2and|{int2,int2}|int2|i|f
int2div|{int2,int2}|int2|i|f
int2eq|{int2,int2}|bool|i|t
int2ge|{int2,int2}|bool|i|t
int2gt|{int2,int2}|bool|i|t
int2in|{cstring}|int2|i|f
int2int4_sum|{_int8}|int8|i|f
int2larger|{int2,int2}|int2|i|f
int2le|{int2,int2}|bool|i|t
int2lt|{int2,int2}|bool|i|t
int2mi|{int2,int2}|int2|i|f
int2mod|{int2,int2}|int2|i|f
int2mul|{int2,int2}|int2|i|f
int2ne|{int2,int2}|bool|i|t
int2not|{int2}|int2|i|f
int2or|{int2,int2}|int2|i|f
int2out|{int2}|cstring|i|f
int2pl|{int2,int2}|int2|i|f
int2recv|{internal}|int2|i|f
int2send|{int2}|bytea|i|f
int2shl|{int2,int4}|int2|i|f
int2shr|{int2,int4}|int2|i|f
int2smaller|{int2,int2}|int2|i|f
int2um|{int2}|int2|i|f
int2up|{int2}|int2|i|f
int2vectorin|{cstring}|int2vector|i|f
int2vectorout|{int2vector}|cstring|i|f
int2vectorrecv|{internal}|int2vector|i|f
int2vectorsend|{int2vector}|bytea|i|f
int2xor|{int2,int2}|int2|i|f
int4|{bit}|int4|i|f
int4|{bool}|int4|i|f
int4|{char}|int4|i|f
int4|{float4}|int4|i|f
int4|{float8}|int4|i|f
int4|{int2}|int4|i|f
int4|{int8}|int4|i|f
int4|{jsonb}|int4|i|f
int4|{numeric}|int4|i|f
int42div|{int4,int2}|int4|i|f
int42eq|{int4,int2}|bool|i|t
int42ge|{int4,int2}|bool|i|t
int42gt|{int4,int2}|bool|i|t
